,name,region,region_code,outcome,majority,registered,turnout,turnout_delta
308,Hexham,England,E14000746,CON HOLD,"10,549","61,324",75.3%,-0.5
309,Heywood & Middleton,England,E14000747,CON GAIN FROM LAB,663,"80,162",59.2%,-3.2
310,High Peak,England,E14000748,CON GAIN FROM LAB,590,"74,343",72.9%,-0.7
311,Hitchin & Harpenden,England,E14000749,CON HOLD,"6,895","76,321",77.1%,-0.3
312,Holborn & St Pancras,England,E14000750,LAB HOLD,"27,763","87,236",65.1%,-1.9
313,Hornchurch & Upminster,England,E14000751,CON HOLD,"23,308","80,765",66.8%,-2.5
314,Hornsey & Wood Green,England,E14000752,LAB HOLD,"19,242","81,814",74.7%,-3.2
315,Horsham,England,E14000753,CON HOLD,"21,127","86,730",72.9%,-2.0
316,Houghton & Sunderland South,England,E14000754,LAB HOLD,"3,115","68,828",57.8%,-3.0
317,Hove,England,E14000755,LAB HOLD,"17,044","74,313",75.9%,-1.7
318,Huddersfield,England,E14000756,LAB HOLD,"4,937","65,525",63.9%,-1.5
319,Hull East,England,E14000771,LAB HOLD,"1,239","65,745",49.3%,-6.2
320,Hull North,England,E14000772,LAB HOLD,"7,593","65,515",52.2%,-5.2
321,Hull West & Hessle,England,E14000773,LAB HOLD,"2,856","60,409",51.9%,-5.5
322,Huntingdon,England,E14000757,CON HOLD,"19,383","84,657",69.9%,-1.0
323,Hyndburn,England,E14000758,CON GAIN FROM LAB,"2,951","70,910",59.8%,-3.3
324,Ilford North,England,E14000759,LAB HOLD,"5,218","72,963",68.7%,-6.1
325,Ilford South,England,E14000760,LAB HOLD,"24,101","84,957",62.9%,-7.0
326,Inverclyde,Scotland,S14000038,SNP HOLD,"7,512","60,622",65.8%,-0.6
327,"Inverness, Nairn, Badenoch & Strathspey",Scotland,S14000039,SNP HOLD,"10,440","78,057",70.2%,+1.5
328,Ipswich,England,E14000761,CON GAIN FROM LAB,"5,479","75,525",65.6%,-1.9
329,Isle of Wight,England,E14000762,CON HOLD,"23,737","113,021",65.9%,-1.4
330,Islington North,England,E14000763,LAB HOLD,"26,188","75,162",71.6%,-1.8
331,Islington South & Finsbury,England,E14000764,LAB HOLD,"17,328","70,489",67.8%,-1.3
332,Islwyn,Wales,W07000077,LAB HOLD,"5,464","55,423",62.0%,-2.2
333,Jarrow,England,E14000765,LAB HOLD,"7,120","65,103",62.6%,-3.8
334,Keighley,England,E14000766,CON GAIN FROM LAB,"2,218","72,778",72.3%,-0.1
335,Kenilworth & Southam,England,E14000767,CON HOLD,"20,353","68,156",77.2%,-0.2
336,Kensington,England,E14000768,CON GAIN FROM LAB,150,"64,609",67.7%,+3.9
337,Kettering,England,E14000769,CON HOLD,"16,765","73,187",67.4%,-1.7
338,Kilmarnock & Loudoun,Scotland,S14000040,SNP HOLD,"12,659","74,517",63.9%,+0.5
339,Kingston & Surbiton,England,E14000770,LD HOLD,"10,489","81,975",74.2%,-2.0
340,Kingswood,England,E14000774,CON HOLD,"11,220","68,972",71.5%,+1.2
341,Kirkcaldy & Cowdenbeath,Scotland,S14000041,SNP GAIN FROM LAB,"1,243","72,853",64.5%,+1.0
342,Knowsley,England,E14000775,LAB HOLD,"39,942","84,060",65.4%,-2.5
343,Lagan Valley,Northern Ireland,N06000009,DUP HOLD,"6,499","75,735",60.0%,-2.1
344,Lanark & Hamilton East,Scotland,S14000042,SNP HOLD,"5,187","77,659",68.3%,+3.1
345,Lancashire West,England,E14001033,LAB HOLD,"8,336","73,346",71.8%,-2.4
346,Lancaster & Fleetwood,England,E14000776,LAB HOLD,"2,380","70,059",64.5%,-3.9
347,Leeds Central,England,E14000777,LAB HOLD,"19,270","90,971",54.2%,+0.9
348,Leeds East,England,E14000778,LAB HOLD,"5,531","67,286",58.0%,-4.8
349,Leeds North East,England,E14000779,LAB HOLD,"17,089","70,580",71.6%,-4.0
350,Leeds North West,England,E14000780,LAB HOLD,"10,749","67,741",72.8%,+4.8
351,Leeds West,England,E14000781,LAB HOLD,"10,564","67,727",59.5%,-2.7
352,Leicester East,England,E14000782,LAB HOLD,"6,019","78,432",63.0%,-4.4
353,Leicester South,England,E14000783,LAB HOLD,"22,675","77,665",64.6%,-2.3
354,Leicester West,England,E14000784,LAB HOLD,"4,212","64,918",53.6%,-4.3
355,Leicestershire North West,England,E14000858,CON HOLD,"20,400","78,935",68.2%,-2.9
356,Leicestershire South,England,E14000940,CON HOLD,"24,004","80,520",71.4%,-0.4
357,Leigh,England,E14000785,CON GAIN FROM LAB,"1,965","77,417",60.7%,-0.8
358,Lewes,England,E14000786,CON HOLD,"2,457","71,503",76.7%,+0.3
359,Lewisham Deptford,England,E14000789,LAB HOLD,"32,913","80,617",68.7%,-1.6
360,Lewisham East,England,E14000787,LAB WIN,"17,008","67,857",66.0%,-3.2
361,Lewisham West & Penge,England,E14000788,LAB HOLD,"21,543","74,615",69.8%,-3.1
362,Leyton & Wanstead,England,E14000790,LAB HOLD,"20,808","64,852",68.7%,-2.2
363,Lichfield,England,E14000791,CON HOLD,"23,638","76,751",70.3%,-1.6
364,Lincoln,England,E14000792,CON GAIN FROM LAB,"3,514","74,778",67.7%,+1.1
365,Linlithgow & Falkirk East,Scotland,S14000043,SNP HOLD,"11,266","87,044",66.4%,+1.3
366,Liverpool Riverside,England,E14000793,LAB HOLD,"37,043","80,310",65.7%,+2.8
367,Liverpool Walton,England,E14000794,LAB HOLD,"30,520","62,628",65.1%,-2.1
368,Liverpool Wavertree,England,E14000795,LAB HOLD,"27,085","63,458",68.4%,-1.6
369,Liverpool West Derby,England,E14000796,LAB HOLD,"29,984","65,640",67.0%,-2.3
370,Livingston,Scotland,S14000044,SNP HOLD,"13,435","82,285",66.3%,+1.7
371,Llanelli,Wales,W07000045,LAB HOLD,"4,670","60,513",63.2%,-4.7
372,Loughborough,England,E14000797,CON HOLD,"7,169","79,776",68.5%,+0.5
373,Louth & Horncastle,England,E14000798,CON HOLD,"28,868","79,648",65.7%,-1.1
374,Ludlow,England,E14000799,CON HOLD,"23,648","69,442",72.3%,-1.1
375,Luton North,England,E14000800,LAB HOLD,"9,247","68,185",62.5%,-7.3
376,Luton South,England,E14000801,LAB HOLD,"8,756","69,338",60.7%,-8.0
377,Macclesfield,England,E14000802,CON HOLD,"10,711","76,216",70.7%,-1.5
378,Maidenhead,England,E14000803,CON HOLD,"18,846","76,668",73.7%,-2.9
379,Maidstone & The Weald,England,E14000804,CON HOLD,"21,772","76,110",67.9%,-0.7
380,Makerfield,England,E14000805,LAB HOLD,"4,740","74,190",59.7%,-3.5
381,Maldon,England,E14000806,CON HOLD,"30,041","72,641",69.4%,-0.8
382,Manchester Central,England,E14000807,LAB HOLD,"29,089","94,247",55.5%,+0.4
383,Manchester Gorton,England,E14000808,LAB HOLD,"30,339","76,419",58.3%,-2.7
384,Manchester Withington,England,E14000809,LAB HOLD,"27,905","76,530",69.2%,-2.6
385,Mansfield,England,E14000810,CON HOLD,"16,306","77,131",63.9%,-0.6
386,Meon Valley,England,E14000811,CON HOLD,"23,555","75,737",72.4%,-0.6
387,Meriden,England,E14000812,CON HOLD,"22,836","85,368",63.4%,-3.6
388,Merthyr Tydfil & Rhymney,Wales,W07000071,LAB HOLD,"10,606","56,322",57.3%,-3.2
389,Mid Ulster,Northern Ireland,N06000010,SF HOLD,"9,537","70,449",63.3%,-4.8
390,Middlesbrough,England,E14000819,LAB HOLD,"8,390","60,759",52.9%,-5.5
391,Middlesbrough South & Cleveland East,England,E14000820,CON HOLD,"11,626","72,339",66.1%,+0.3
392,Midlothian,Scotland,S14000045,SNP GAIN FROM LAB,"5,705","70,544",68.4%,+2.1
393,Milton Keynes North,England,E14000821,CON HOLD,"6,255","91,535",68.3%,-3.3
394,Milton Keynes South,England,E14000822,CON HOLD,"6,944","96,343",66.4%,-3.4
395,Mitcham & Morden,England,E14000823,LAB HOLD,"16,482","70,014",65.3%,-4.7
396,Mole Valley,England,E14000824,CON HOLD,"12,041","74,665",76.5%,+0.4
397,Monmouth,Wales,W07000054,CON HOLD,"9,982","67,094",74.8%,-1.8
398,Montgomeryshire,Wales,W07000063,CON HOLD,"12,138","48,997",69.8%,+1.1
399,Moray,Scotland,S14000046,CON HOLD,513,"71,035",68.7%,+1.4
400,Morecambe & Lunesdale,England,E14000825,CON HOLD,"6,354","67,397",67.2%,-1.1
401,Morley & Outwood,England,E14000826,CON HOLD,"11,267","78,803",65.9%,-2.5
402,Motherwell & Wishaw,Scotland,S14000047,SNP HOLD,"6,268","68,856",64.5%,+3.0
403,Na h-Eileanan an Iar (Western Isles),Scotland,S14000027,SNP HOLD,"2,438","21,106",68.6%,-1.0
404,Neath,Wales,W07000069,LAB HOLD,"5,637","56,416",65.2%,-3.4
405,New Forest East,England,E14000827,CON HOLD,"25,251","73,552",69.0%,-1.7
406,New Forest West,England,E14000828,CON HOLD,"24,403","70,867",71.0%,-1.2
407,Newark,England,E14000829,CON HOLD,"21,816","75,855",72.2%,-0.7
408,Newbury,England,E14000830,CON HOLD,"16,047","83,414",71.9%,-1.5
409,Newcastle upon Tyne Central,England,E14000831,LAB HOLD,"12,278","57,845",64.8%,-2.2
410,Newcastle upon Tyne East,England,E14000832,LAB HOLD,"15,463","63,796",68.0%,+0.8
411,Newcastle upon Tyne North,England,E14000833,LAB HOLD,"5,765","68,486",68.6%,-4.5
412,Newcastle-under-Lyme,England,E14000834,CON GAIN FROM LAB,"7,446","68,211",65.6%,-1.2
413,Newport East,Wales,W07000055,LAB HOLD,"1,992","58,554",62.0%,-2.4
414,Newport West,Wales,W07000056,LAB WIN,902,"66,657",65.2%,-2.3
415,Newry & Armagh,Northern Ireland,N06000011,SF HOLD,"9,287","81,226",62.5%,-5.9
416,Newton Abbot,England,E14000835,CON HOLD,"17,501","72,533",72.5%,+0.5
417,Norfolk Mid,England,E14000816,CON HOLD,"22,594","81,975",68.5%,-1.0
418,Norfolk North,England,E14000848,CON GAIN FROM LD,"14,395","70,729",71.9%,-3.5
419,Norfolk North West,England,E14000859,CON HOLD,"19,922","72,080",64.7%,-3.1
420,Norfolk South,England,E14000941,CON HOLD,"21,275","86,214",72.5%,-1.1
421,Norfolk South West,England,E14000952,CON HOLD,"26,195","78,455",65.6%,-1.7
422,"Normanton, Pontefract & Castleford",England,E14000836,LAB HOLD,"1,276","84,527",57.1%,-3.2
423,North Antrim,Northern Ireland,N06000012,DUP HOLD,"12,721","77,134",57.1%,-6.9
424,North Down,Northern Ireland,N06000013,APNI GAIN FROM IND,"2,968","67,099",60.6%,-0.3
425,Northampton North,England,E14000861,CON HOLD,"5,507","59,265",66.7%,-1.9
426,Northampton South,England,E14000862,CON HOLD,"4,697","62,172",65.7%,-0.8
427,Northamptonshire South,England,E14000942,CON HOLD,"27,761","90,840",73.7%,-2.1
428,Norwich North,England,E14000863,CON HOLD,"4,738","67,172",68.9%,+0.3
429,Norwich South,England,E14000864,LAB HOLD,"12,760","77,845",66.4%,-2.9
430,Nottingham East,England,E14000865,LAB HOLD,"17,393","66,262",60.4%,-3.3
431,Nottingham North,England,E14000866,LAB HOLD,"4,490","66,495",53.1%,-4.2
432,Nottingham South,England,E14000867,LAB HOLD,"12,568","79,485",60.6%,-7.1
433,Nuneaton,England,E14000868,CON HOLD,"13,144","70,226",64.3%,-2.2
434,Ochil & South Perthshire,Scotland,S14000050,SNP GAIN FROM CON,"4,498","78,776",73.4%,+2.8
435,Ogmore,Wales,W07000074,LAB HOLD,"7,805","57,581",61.5%,-3.7
436,Old Bexley & Sidcup,England,E14000869,CON HOLD,"18,952","66,104",69.8%,-3.0
437,Oldham East & Saddleworth,England,E14000870,LAB HOLD,"1,499","72,173",64.0%,-1.2
438,Oldham West & Royton,England,E14000871,LAB HOLD,"11,127","73,063",60.8%,-2.4
439,Orkney & Shetland,Scotland,S14000051,LD HOLD,"2,507","34,211",67.7%,-0.4
440,Orpington,England,E14000872,CON HOLD,"22,378","68,884",70.7%,-3.6
441,Oxford East,England,E14000873,LAB HOLD,"17,832","77,947",63.3%,-5.5
442,Oxford West & Abingdon,England,E14000874,LD HOLD,"8,943","76,953",76.4%,-3.0
443,Paisley & Renfrewshire North,Scotland,S14000052,SNP HOLD,"11,902","72,007",69.0%,-0.1
444,Paisley & Renfrewshire South,Scotland,S14000053,SNP HOLD,"10,679","64,385",66.9%,-1.1
445,Pendle,England,E14000875,CON HOLD,"6,186","65,289",68.1%,-0.9
446,Penistone & Stocksbridge,England,E14000876,CON GAIN FROM LAB,"7,210","70,925",69.8%,+0.0
447,Penrith & The Border,England,E14000877,CON HOLD,"18,519","67,555",70.8%,-0.5
448,Perth & North Perthshire,Scotland,S14000054,SNP HOLD,"7,550","72,600",74.5%,+2.7
449,Peterborough,England,E14000878,CON WIN,"2,580","72,560",65.9%,-0.9
450,Plymouth Moor View,England,E14000879,CON HOLD,"12,897","69,430",63.7%,-1.8
451,Plymouth Sutton & Devonport,England,E14000880,LAB HOLD,"4,757","77,852",68.3%,+1.4
452,Pontypridd,Wales,W07000075,LAB HOLD,"5,887","60,327",64.7%,-1.1
453,Poole,England,E14000881,CON HOLD,"19,116","73,992",68.2%,+0.6
454,Poplar & Limehouse,England,E14000882,LAB HOLD,"28,904","91,760",66.8%,-0.6
455,Portsmouth North,England,E14000883,CON HOLD,"15,780","71,299",64.4%,-1.8
456,Portsmouth South,England,E14000884,LAB HOLD,"5,363","74,186",63.9%,+0.1
457,Preseli Pembrokeshire,Wales,W07000065,CON HOLD,"5,062","59,586",71.2%,-0.9
458,Preston,England,E14000885,LAB HOLD,"12,146","59,672",56.6%,-5.0
459,Pudsey,England,E14000886,CON HOLD,"3,517","73,212",74.1%,-0.2
460,Putney,England,E14000887,LAB GAIN FROM CON,"4,774","65,542",77.0%,+4.9
461,Rayleigh & Wickford,England,E14000888,CON HOLD,"31,000","78,959",69.5%,-0.9
462,Reading East,England,E14000889,LAB HOLD,"5,924","77,465",72.2%,-0.9
463,Reading West,England,E14000890,CON HOLD,"4,117","74,623",67.5%,-1.9
464,Redcar,England,E14000891,CON GAIN FROM LAB,"3,527","65,855",62.0%,-1.7
465,Redditch,England,E14000892,CON HOLD,"16,036","65,391",67.4%,-2.8
466,Reigate,England,E14000893,CON HOLD,"18,310","74,842",71.0%,-1.1
467,Renfrewshire East,Scotland,S14000021,SNP GAIN FROM CON,"5,426","72,232",76.6%,-0.1
468,Rhondda,Wales,W07000052,LAB HOLD,"11,440","50,262",59.0%,-6.2
469,Ribble Valley,England,E14000894,CON HOLD,"18,439","79,247",69.8%,-1.0
470,Richmond (Yorks),England,E14000895,CON HOLD,"27,210","82,601",69.9%,-0.6
471,Richmond Park,England,E14000896,LD GAIN FROM CON,"7,766","82,696",78.7%,-0.5
472,Rochdale,England,E14000897,LAB HOLD,"9,668","78,909",60.1%,-4.0
473,Rochester & Strood,England,E14000898,CON HOLD,"17,072","82,056",63.3%,-1.7
474,Rochford & Southend East,England,E14000899,CON HOLD,"12,286","75,624",61.0%,-3.3
475,Romford,England,E14000900,CON HOLD,"17,893","72,350",65.3%,-2.7
476,Romsey & Southampton North,England,E14000901,CON HOLD,"10,872","68,228",75.3%,+0.7
477,"Ross, Skye & Lochaber",Scotland,S14000055,SNP HOLD,"9,443","54,229",73.5%,+1.8
478,Rossendale & Darwen,England,E14000902,CON HOLD,"9,522","72,771",67.1%,-2.1
479,Rother Valley,England,E14000903,CON GAIN FROM LAB,"6,318","74,802",65.1%,-0.7
480,Rotherham,England,E14000904,LAB HOLD,"3,121","61,688",57.8%,-2.2
481,Rugby,England,E14000905,CON HOLD,"13,447","72,340",70.2%,-0.9
482,"Ruislip, Northwood & Pinner",England,E14000906,CON HOLD,"16,394","73,389",72.1%,-0.6
483,Runnymede & Weybridge,England,E14000907,CON HOLD,"18,270","77,196",69.0%,+0.1
484,Rushcliffe,England,E14000908,CON HOLD,"7,643","77,055",78.5%,+0.5
485,Rutherglen & Hamilton West,Scotland,S14000056,SNP GAIN FROM LAB,"5,230","80,918",66.5%,+3.0
486,Rutland & Melton,England,E14000909,CON HOLD,"26,924","82,711",70.5%,-2.9
487,Saffron Walden,England,E14000910,CON HOLD,"27,594","87,017",72.5%,-0.8
488,Salford & Eccles,England,E14000911,LAB HOLD,"16,327","82,202",61.6%,+0.6
489,Salisbury,England,E14000912,CON HOLD,"19,736","74,560",72.1%,-1.1
490,Scarborough & Whitby,England,E14000913,CON HOLD,"10,270","74,393",66.8%,-1.7
491,Scunthorpe,England,E14000914,CON GAIN FROM LAB,"6,451","61,955",60.9%,-4.4
492,Sedgefield,England,E14000915,CON GAIN FROM LAB,"4,513","64,325",64.6%,-0.5
493,Sefton Central,England,E14000916,LAB HOLD,"15,122","69,760",72.9%,-2.5
494,Selby & Ainsty,England,E14000917,CON HOLD,"20,137","78,715",71.7%,-2.2
495,Sevenoaks,England,E14000918,CON HOLD,"20,818","71,777",71.0%,-0.6
496,Sheffield Brightside & Hillsborough,England,E14000921,LAB HOLD,"12,274","69,333",57.1%,-2.4
497,Sheffield Central,England,E14000919,LAB HOLD,"27,273","89,849",56.7%,-5.1
498,Sheffield Hallam,England,E14000922,LAB HOLD,712,"72,763",78.2%,+0.6
499,Sheffield Heeley,England,E14000923,LAB HOLD,"8,520","66,940",63.8%,-1.2
500,Sheffield South East,England,E14000920,LAB HOLD,"4,289","67,832",61.9%,-1.3
501,Sherwood,England,E14000924,CON HOLD,"16,186","77,948",67.6%,-2.4
502,Shipley,England,E14000925,CON HOLD,"6,242","74,029",72.9%,-0.1
503,Shrewsbury & Atcham,England,E14000926,CON HOLD,"11,217","82,237",71.8%,-1.8
504,Shropshire North,England,E14000849,CON HOLD,"22,949","83,257",67.9%,-1.2
505,Sittingbourne & Sheppey,England,E14000927,CON HOLD,"24,479","83,917",61.2%,-1.6
506,Skipton & Ripon,England,E14000928,CON HOLD,"23,694","78,673",74.6%,+0.2
507,Sleaford & North Hykeham,England,E14000929,CON HOLD,"32,565","94,761",70.2%,-2.1
508,Slough,England,E14000930,LAB HOLD,"13,640","87,632",58.2%,-7.0
509,Solihull,England,E14000931,CON HOLD,"21,273","78,760",70.3%,-2.7
510,Somerset North,England,E14000850,CON HOLD,"17,536","80,194",77.4%,+0.4
511,Somerset North East,England,E14000846,CON HOLD,"14,729","73,665",76.4%,+0.7
512,Somerton & Frome,England,E14000932,CON HOLD,"19,213","85,866",75.6%,-0.1
513,South Antrim,Northern Ireland,N06000014,DUP HOLD,"2,689","71,711",59.9%,-3.3
514,South Down,Northern Ireland,N06000015,SF HOLD,"1,620","79,175",62.9%,-4.4
515,South Holland & The Deepings,England,E14000939,CON HOLD,"30,838","75,990",64.7%,-1.2
516,South Ribble,England,E14000943,CON HOLD,"11,199","75,344",71.4%,-1.0
517,South Shields,England,E14000944,LAB HOLD,"9,585","62,793",60.3%,-3.9
518,Southampton Itchen,England,E14000955,CON HOLD,"4,498","72,293",65.6%,+0.4
519,Southampton Test,England,E14000956,LAB HOLD,"6,213","70,113",64.2%,-2.6
520,Southend West,England,E14000957,CON HOLD,"14,459","69,043",67.4%,-2.3
521,Southport,England,E14000958,CON HOLD,"4,147","70,837",68.0%,-1.1
522,Spelthorne,England,E14000959,CON HOLD,"18,393","70,929",69.8%,+0.8
523,St Albans,England,E14000960,LD GAIN FROM CON,"6,293","73,721",78.1%,-0.2
524,St Austell & Newquay,England,E14000961,CON HOLD,"16,526","79,930",69.8%,+0.8
525,St Helens North,England,E14000962,LAB HOLD,"12,209","75,593",62.9%,-3.1
526,St Helens South & Whiston,England,E14000963,LAB HOLD,"19,122","79,058",63.6%,-3.3
527,St Ives,England,E14000964,CON HOLD,"4,284","68,795",74.7%,-1.6
528,Stafford,England,E14000965,CON HOLD,"14,377","72,572",70.5%,-5.4
529,Staffordshire Moorlands,England,E14000966,CON HOLD,"16,428","65,485",66.7%,-3.9
530,Staffordshire South,England,E14000945,CON HOLD,"28,250","73,680",67.9%,-1.7
531,Stalybridge & Hyde,England,E14000967,LAB HOLD,"2,946","73,873",57.4%,-2.1
532,Stevenage,England,E14000968,CON HOLD,"8,562","71,562",66.6%,-3.1
533,Stirling,Scotland,S14000057,SNP GAIN FROM CON,"9,254","68,473",76.8%,+2.5
534,Stockport,England,E14000969,LAB HOLD,"10,039","65,457",63.7%,-0.9
535,Stockton North,England,E14000970,LAB HOLD,"1,027","66,676",61.7%,-2.7
536,Stockton South,England,E14000971,CON GAIN FROM LAB,"5,260","76,895",71.3%,+0.1
537,Stoke-on-Trent Central,England,E14000972,CON GAIN FROM LAB,670,"55,424",57.9%,-0.4
538,Stoke-on-Trent North,England,E14000973,CON GAIN FROM LAB,"6,286","84,357",47.6%,-10.8
539,Stoke-on-Trent South,England,E14000974,CON HOLD,"11,271","64,499",61.4%,-1.7
540,Stone,England,E14000975,CON HOLD,"19,945","69,378",71.8%,-1.9
541,Stourbridge,England,E14000976,CON HOLD,"13,571","69,891",65.4%,-1.8
542,Strangford,Northern Ireland,N06000016,DUP HOLD,"7,071","66,928",56.0%,-4.2
543,Stratford-on-Avon,England,E14000977,CON HOLD,"19,972","74,038",74.4%,+0.6
544,Streatham,England,E14000978,LAB HOLD,"17,690","84,788",66.7%,-4.3
545,Stretford & Urmston,England,E14000979,LAB HOLD,"16,417","72,356",69.2%,-0.7
546,Stroud,England,E14000980,CON GAIN FROM LAB,"3,840","84,536",78.0%,+1.0
547,Suffolk Central & Ipswich North,England,E14000624,CON HOLD,"23,391","76,201",73.8%,+1.5
548,Suffolk Coastal,England,E14000981,CON HOLD,"20,533","81,910",71.2%,-2.0
549,Suffolk South,England,E14000946,CON HOLD,"22,897","76,201",70.2%,-1.7
550,Suffolk West,England,E14001034,CON HOLD,"23,194","80,192",64.1%,-2.8
551,Sunderland Central,England,E14000982,LAB HOLD,"2,964","72,672",59.8%,-2.2
552,Surrey East,England,E14000681,CON HOLD,"24,040","83,148",71.8%,-0.4
553,Surrey Heath,England,E14000983,CON HOLD,"18,349","81,349",72.1%,+0.5
554,Surrey South West,England,E14000953,CON HOLD,"8,817","79,129",76.3%,-1.2
555,Sussex Mid,England,E14000817,CON HOLD,"18,197","85,140",73.7%,+0.5
556,Sutton & Cheam,England,E14000984,CON HOLD,"8,351","71,760",70.4%,-3.5
557,Sutton Coldfield,England,E14000985,CON HOLD,"19,272","75,638",69.2%,-0.7
558,Swansea East,Wales,W07000048,LAB HOLD,"7,970","58,450",57.4%,-2.6
559,Swansea West,Wales,W07000047,LAB HOLD,"8,116","57,078",62.8%,-2.8
560,Swindon North,England,E14000851,CON HOLD,"16,171","82,441",66.9%,-1.6
561,Swindon South,England,E14000947,CON HOLD,"6,625","73,118",69.4%,-1.4
562,Tamworth,England,E14000986,CON HOLD,"19,634","71,580",64.3%,-1.7
563,Tatton,England,E14000987,CON HOLD,"17,387","69,018",70.9%,-1.4
564,Taunton Deane,England,E14000988,CON HOLD,"11,700","88,675",71.9%,-1.9
565,Telford,England,E14000989,CON HOLD,"10,941","68,921",62.1%,-3.5
566,Tewkesbury,England,E14000990,CON HOLD,"22,410","83,958",72.8%,+0.3
567,Thanet North,England,E14000852,CON HOLD,"17,189","72,811",66.2%,-0.3
568,Thanet South,England,E14000948,CON HOLD,"10,587","73,302",65.8%,-2.9
569,Thirsk & Malton,England,E14000993,CON HOLD,"25,154","80,979",69.9%,-1.2
570,Thornbury & Yate,England,E14000994,CON HOLD,"12,369","69,492",75.2%,+0.5
571,Thurrock,England,E14000995,CON HOLD,"11,482","79,655",59.6%,-4.8
572,Tiverton & Honiton,England,E14000996,CON HOLD,"24,239","82,953",71.9%,+0.2
573,Tonbridge & Malling,England,E14000997,CON HOLD,"26,941","77,380",73.7%,+0.2
574,Tooting,England,E14000998,LAB HOLD,"14,307","76,933",76.0%,+1.4
575,Torbay,England,E14000999,CON HOLD,"17,749","75,054",67.2%,-0.2
576,Torfaen,Wales,W07000053,LAB HOLD,"3,742","61,743",60.2%,-1.9
577,Totnes,England,E14001001,CON HOLD,"12,724","69,863",74.7%,+1.7
578,Tottenham,England,E14001002,LAB HOLD,"30,175","75,740",61.9%,-5.8
579,Truro & Falmouth,England,E14001003,CON HOLD,"4,561","76,719",77.2%,+1.3
580,Tunbridge Wells,England,E14001004,CON HOLD,"14,645","74,816",73.0%,+0.6
581,Twickenham,England,E14001005,LD HOLD,"14,121","84,901",76.0%,-3.5
582,Tynemouth,England,E14001006,LAB HOLD,"4,857","77,261",72.5%,-0.9
583,Tyneside North,England,E14000853,LAB HOLD,"9,561","78,902",63.9%,-1.8
584,Upper Bann,Northern Ireland,N06000017,DUP HOLD,"8,210","82,887",60.4%,-3.6
585,Uxbridge & Ruislip South,England,E14001007,CON HOLD,"7,210","70,369",68.5%,+1.7
586,Vale of Clwyd,Wales,W07000060,CON GAIN FROM LAB,"1,827","56,649",65.7%,-2.3
587,Vale of Glamorgan,Wales,W07000078,CON HOLD,"3,562","76,508",71.6%,-1.0
588,Vauxhall,England,E14001008,LAB HOLD,"19,612","88,647",63.5%,-3.5
589,Wakefield,England,E14001009,CON GAIN FROM LAB,"3,358","70,192",64.1%,-1.7
590,Wallasey,England,E14001010,LAB HOLD,"18,322","66,310",70.1%,-1.6
591,Walsall North,England,E14001011,CON HOLD,"11,965","67,177",54.4%,-2.2
592,Walsall South,England,E14001012,LAB HOLD,"3,456","68,024",62.4%,-2.9
593,Walthamstow,England,E14001013,LAB HOLD,"30,862","70,268",68.8%,-2.1
594,Wansbeck,England,E14001014,LAB HOLD,814,"63,339",64.0%,-4.4
595,Wantage,England,E14001015,CON HOLD,"12,653","90,875",73.9%,-0.2
596,Warley,England,E14001016,LAB HOLD,"11,511","62,421",59.7%,-3.4
597,Warrington North,England,E14001017,LAB HOLD,"1,509","72,235",64.6%,-2.9
598,Warrington South,England,E14001018,CON GAIN FROM LAB,"2,010","86,015",72.0%,-0.4
599,Warwick & Leamington,England,E14001019,LAB HOLD,789,"76,373",71.0%,-1.8
600,Warwickshire North,England,E14000854,CON HOLD,"17,956","70,271",65.3%,+0.1
601,Washington & Sunderland West,England,E14001020,LAB HOLD,"3,723","66,273",56.6%,-3.7
602,Watford,England,E14001021,CON HOLD,"4,433","83,359",69.7%,+1.9
603,Waveney,England,E14001022,CON HOLD,"18,002","82,791",61.8%,-3.5
604,Wealden,England,E14001023,CON HOLD,"25,655","83,038",73.3%,-0.9
605,Weaver Vale,England,E14001024,LAB HOLD,562,"70,551",71.9%,-1.5
606,Wellingborough,England,E14001025,CON HOLD,"18,540","80,764",64.3%,-2.9
607,Wells,England,E14001026,CON HOLD,"9,991","84,124",73.2%,-0.6
608,Welwyn Hatfield,England,E14001027,CON HOLD,"10,955","74,892",69.5%,-1.4
609,Wentworth & Dearne,England,E14001028,LAB HOLD,"2,165","74,536",55.8%,-2.9
610,West Bromwich East,England,E14001029,CON GAIN FROM LAB,"1,593","62,111",57.9%,-3.3
611,West Bromwich West,England,E14001030,CON GAIN FROM LAB,"3,799","64,576",53.4%,-1.4
612,West Ham,England,E14001032,LAB HOLD,"32,388","97,942",61.5%,-4.2
613,West Tyrone,Northern Ireland,N06000018,SF WIN,"7,478","66,259",62.2%,-5.8
614,Westminster North,England,E14001036,LAB HOLD,"10,759","65,519",65.5%,-2.3
615,Westmorland & Lonsdale,England,E14001037,LD HOLD,"1,934","67,789",77.8%,-0.1
616,Weston-Super-Mare,England,E14001038,CON HOLD,"17,121","82,526",67.4%,-1.3
617,Wigan,England,E14001039,LAB HOLD,"6,728","75,680",59.5%,-3.6
618,Wiltshire North,England,E14000860,CON HOLD,"17,626","73,283",74.7%,-0.5
619,Wiltshire South West,England,E14000954,CON HOLD,"21,630","77,970",70.4%,-0.8
620,Wimbledon,England,E14001040,CON HOLD,628,"68,232",77.7%,+0.6
