,name,region,region_code,outcome,majority,registered,turnout,turnout_delta
68,Blaydon,England,E14000574,LAB HOLD,"5,531","67,853",67.3%,-2.9
69,Blyth Valley,England,E14000575,CON GAIN FROM LAB,712,"64,429",63.4%,-3.6
70,Bognor Regis & Littlehampton,England,E14000576,CON HOLD,"22,503","77,488",66.1%,-1.6
71,Bolsover,England,E14000577,CON GAIN FROM LAB,"5,299","75,157",61.1%,-2.2
72,Bolton North East,England,E14000578,CON GAIN FROM LAB,378,"67,564",64.5%,-2.7
73,Bolton South East,England,E14000579,LAB HOLD,"7,598","69,163",58.7%,-2.7
74,Bolton West,England,E14000580,CON HOLD,"8,855","73,191",67.4%,-2.8
75,Bootle,England,E14000581,LAB HOLD,"34,556","74,832",65.7%,-3.3
76,Boston & Skegness,England,E14000582,CON HOLD,"25,621","69,265",60.2%,-2.5
77,Bosworth,England,E14000583,CON HOLD,"26,278","81,537",69.2%,+0.4
78,Bournemouth East,England,E14000584,CON HOLD,"8,806","74,127",66.5%,+1.3
79,Bournemouth West,England,E14000585,CON HOLD,"10,150","74,211",62.0%,+1.1
80,Bracknell,England,E14000586,CON HOLD,"19,829","79,206",68.6%,-2.0
81,Bradford East,England,E14000587,LAB HOLD,"18,144","73,206",60.4%,-4.5
82,Bradford South,England,E14000588,LAB HOLD,"2,346","69,046",57.6%,-3.0
83,Bradford West,England,E14000589,LAB HOLD,"27,019","70,694",62.6%,-4.8
84,Braintree,England,E14000590,CON HOLD,"24,673","75,208",67.1%,-2.3
85,Brecon & Radnorshire,Wales,W07000068,CON WIN,"7,131","55,490",74.5%,+0.7
86,Brent Central,England,E14000591,LAB HOLD,"20,870","84,204",58.3%,-6.6
87,Brent North,England,E14000592,LAB HOLD,"8,079","83,772",61.9%,-6.4
88,Brentford & Isleworth,England,E14000593,LAB HOLD,"10,514","85,770",68.0%,-4.4
89,Brentwood & Ongar,England,E14000594,CON HOLD,"29,065","75,253",70.4%,-0.1
90,Bridgend,Wales,W07000073,CON GAIN FROM LAB,"1,157","63,303",66.7%,-2.8
91,Bridgwater & Somerset West,England,E14000595,CON HOLD,"24,439","85,327",67.6%,+2.3
92,Brigg & Goole,England,E14000596,CON HOLD,"21,941","65,939",65.8%,-2.4
93,Brighton Kemptown,England,E14000597,LAB HOLD,"8,061","69,833",69.5%,-3.0
94,Brighton Pavilion,England,E14000598,GRN HOLD,"19,940","79,057",73.4%,-3.1
95,Bristol East,England,E14000599,LAB HOLD,"10,794","73,867",70.6%,+0.5
96,Bristol North West,England,E14000600,LAB HOLD,"5,692","76,273",73.3%,+1.6
97,Bristol South,England,E14000601,LAB HOLD,"9,859","84,079",65.6%,+0.1
98,Bristol West,England,E14000602,LAB HOLD,"28,219","99,253",76.1%,-0.9
99,Broadland,England,E14000603,CON HOLD,"21,861","78,151",72.9%,+0.5
100,Bromley & Chislehurst,England,E14000604,CON HOLD,"10,891","66,711",68.3%,-3.4
101,Bromsgrove,England,E14000605,CON HOLD,"23,106","75,079",72.3%,-1.2
102,Broxbourne,England,E14000606,CON HOLD,"19,807","73,182",63.8%,-0.8
103,Broxtowe,England,E14000607,CON HOLD,"5,331","73,052",75.7%,+0.7
104,Buckingham,England,E14000608,CON WIN,"20,411","83,146",76.3%,+10.2
105,Burnley,England,E14000609,CON GAIN FROM LAB,"1,352","64,343",60.6%,-1.7
106,Burton,England,E14000610,CON HOLD,"14,496","75,030",65.0%,-2.5
107,Bury North,England,E14000611,CON GAIN FROM LAB,105,"68,802",68.1%,-2.8
108,Bury South,England,E14000612,CON GAIN FROM LAB,402,"75,152",66.9%,-2.3
109,Bury St Edmunds,England,E14000613,CON HOLD,"24,988","89,644",69.1%,-3.1
110,Caerphilly,Wales,W07000076,LAB HOLD,"6,833","63,166",63.5%,-0.6
111,"Caithness, Sutherland & Easter Ross",Scotland,S14000009,LD HOLD,204,"46,930",67.0%,+1.1
112,Calder Valley,England,E14000614,CON HOLD,"5,774","79,287",72.9%,-0.6
113,Camberwell & Peckham,England,E14000615,LAB HOLD,"33,780","89,042",63.4%,-3.6
114,Camborne & Redruth,England,E14000616,CON HOLD,"8,700","70,250",71.7%,+0.9
115,Cambridge,England,E14000617,LAB HOLD,"9,639","79,951",67.2%,-4.0
116,Cambridgeshire North East,England,E14000842,CON HOLD,"29,993","83,699",63.3%,+0.2
117,Cambridgeshire North West,England,E14000855,CON HOLD,"25,983","94,909",68.0%,-0.6
118,Cambridgeshire South,England,E14000934,CON HOLD,"2,904","87,288",76.7%,+0.5
119,Cambridgeshire South East,England,E14000937,CON HOLD,"11,490","86,769",74.2%,+1.0
120,Cannock Chase,England,E14000618,CON HOLD,"19,879","74,813",61.9%,-2.3
121,Canterbury,England,E14000619,LAB HOLD,"1,836","80,203",75.0%,+2.3
122,Cardiff Central,Wales,W07000050,LAB HOLD,"17,179","64,037",65.3%,-2.8
123,Cardiff North,Wales,W07000051,LAB HOLD,"6,982","68,438",77.0%,-0.4
124,Cardiff South & Penarth,Wales,W07000080,LAB HOLD,"12,737","78,837",64.2%,-2.2
125,Cardiff West,Wales,W07000079,LAB HOLD,"10,986","68,508",67.4%,-2.4
126,Carlisle,England,E14000620,CON HOLD,"8,319","65,105",65.9%,-3.3
127,Carmarthen East & Dinefwr,Wales,W07000067,PC HOLD,"1,809","57,407",71.4%,-1.9
128,Carmarthen West & Pembrokeshire South,Wales,W07000066,CON HOLD,"7,745","58,629",71.8%,-0.3
129,Carshalton & Wallington,England,E14000621,CON GAIN FROM LD,629,"72,926",67.3%,-4.3
130,Castle Point,England,E14000622,CON HOLD,"26,634","69,643",63.6%,-0.8
131,Ceredigion,Wales,W07000064,PC HOLD,"6,329","56,250",71.3%,-2.0
132,Charnwood,England,E14000625,CON HOLD,"22,397","79,556",69.6%,-1.1
133,Chatham & Aylesford,England,E14000626,CON HOLD,"18,540","73,305",59.1%,-4.6
134,Cheadle,England,E14000627,CON HOLD,"2,336","74,639",74.9%,+0.6
135,Chelmsford,England,E14000628,CON HOLD,"17,621","80,481",71.0%,+0.8
136,Chelsea & Fulham,England,E14000629,CON HOLD,"11,241","67,110",69.8%,+3.7
137,Cheltenham,England,E14000630,CON HOLD,981,"81,043",73.2%,+1.0
138,Chesham & Amersham,England,E14000631,CON HOLD,"16,223","72,542",76.8%,-0.3
139,"Chester, City of",England,E14000640,LAB HOLD,"6,164","76,057",71.7%,-5.7
140,Chesterfield,England,E14000632,LAB HOLD,"1,451","70,994",63.6%,-2.9
141,Chichester,England,E14000633,CON HOLD,"21,490","85,499",71.6%,+1.1
142,Chingford & Woodford Green,England,E14000634,CON HOLD,"1,262","65,393",74.1%,+2.9
143,Chippenham,England,E14000635,CON HOLD,"11,288","77,225",73.9%,-0.8
144,Chipping Barnet,England,E14000636,CON HOLD,"1,212","79,960",72.0%,+0.2
145,Chorley,England,E14000637,SPE WIN,"17,392","78,177",51.0%,-21.8
146,Christchurch,England,E14000638,CON HOLD,"24,617","71,521",72.6%,+0.6
147,Cities of London & Westminster,England,E14000639,CON HOLD,"3,953","63,700",67.1%,+4.3
148,Clacton,England,E14000642,CON HOLD,"24,702","70,930",61.3%,-3.0
149,Cleethorpes,England,E14000643,CON HOLD,"21,418","73,689",62.9%,-2.9
150,Clwyd South,Wales,W07000062,CON GAIN FROM LAB,"1,239","53,919",67.3%,-2.4
151,Clwyd West,Wales,W07000059,CON HOLD,"6,747","57,714",69.7%,-0.1
152,"Coatbridge, Chryston & Bellshill",Scotland,S14000011,SNP GAIN FROM LAB,"5,624","72,943",66.1%,+2.8
153,Colchester,England,E14000644,CON HOLD,"9,423","82,625",64.6%,-2.3
154,Colne Valley,England,E14000645,CON GAIN FROM LAB,"5,103","84,174",72.4%,+0.8
155,Congleton,England,E14000646,CON HOLD,"18,561","80,930",70.7%,-2.6
156,Copeland,England,E14000647,CON HOLD,"5,842","61,693",68.9%,-0.6
157,Corby,England,E14000648,CON HOLD,"10,268","86,151",70.2%,-2.1
158,Cornwall North,England,E14000837,CON HOLD,"14,752","69,935",73.9%,-0.1
159,Cornwall South East,England,E14000938,CON HOLD,"20,971","71,825",74.7%,+0.7
160,"Cotswolds, The",England,E14000991,CON HOLD,"20,214","81,939",74.7%,+0.4
161,Coventry North East,England,E14000649,LAB HOLD,"7,692","76,002",58.5%,-2.9
162,Coventry North West,England,E14000650,LAB HOLD,208,"75,240",63.5%,-2.8
163,Coventry South,England,E14000651,LAB HOLD,401,"70,970",63.5%,-3.0
164,Crawley,England,E14000652,CON HOLD,"8,360","74,207",67.2%,-1.2
165,Crewe & Nantwich,England,E14000653,CON GAIN FROM LAB,"8,508","80,321",67.3%,-2.5
166,Croydon Central,England,E14000654,LAB HOLD,"5,949","81,410",66.4%,-4.9
167,Croydon North,England,E14000655,LAB HOLD,"24,673","88,466",62.9%,-5.3
168,Croydon South,England,E14000656,CON HOLD,"12,339","83,977",70.7%,-2.7
169,"Cumbernauld, Kilsyth & Kirkintilloch East",Scotland,S14000012,SNP HOLD,"12,976","66,079",69.1%,+3.3
170,Cynon Valley,Wales,W07000070,LAB HOLD,"8,822","51,134",59.1%,-2.8
171,Dagenham & Rainham,England,E14000657,LAB HOLD,293,"71,043",61.6%,-3.4
172,Darlington,England,E14000658,CON GAIN FROM LAB,"3,294","66,395",65.5%,-2.0
173,Dartford,England,E14000659,CON HOLD,"19,160","82,209",65.7%,-3.4
174,Daventry,England,E14000660,CON HOLD,"26,080","77,521",74.0%,+0.1
175,Delyn,Wales,W07000042,CON GAIN FROM LAB,865,"54,552",70.3%,-2.5
176,Denton & Reddish,England,E14000661,LAB HOLD,"6,175","66,234",58.3%,-0.3
177,Derby North,England,E14000662,CON GAIN FROM LAB,"2,540","73,212",64.2%,-5.4
178,Derby South,England,E14000663,LAB HOLD,"6,019","73,079",58.1%,-6.7
179,Derbyshire Dales,England,E14000664,CON HOLD,"17,381","65,060",76.9%,-0.1
180,Derbyshire Mid,England,E14000814,CON HOLD,"15,385","67,437",73.2%,-1.5
181,Derbyshire North East,England,E14000843,CON HOLD,"12,876","72,360",68.0%,-1.9
182,Derbyshire South,England,E14000935,CON HOLD,"19,335","79,365",67.3%,-1.6
183,Devizes,England,E14000665,CON HOLD,"23,993","73,379",69.4%,-0.6
184,Devon Central,England,E14000623,CON HOLD,"17,721","74,926",77.5%,-0.3
185,Devon East,England,E14000678,CON HOLD,"6,708","86,841",73.8%,+0.5
186,Devon North,England,E14000838,CON HOLD,"14,813","75,853",73.3%,-0.2
187,Devon South West,England,E14000950,CON HOLD,"21,430","72,535",73.6%,-0.6
188,Devon West & Torridge,England,E14001000,CON HOLD,"24,992","79,831",74.8%,+1.0
189,Dewsbury,England,E14000666,CON GAIN FROM LAB,"1,561","81,252",69.4%,-0.1
190,Don Valley,England,E14000667,CON GAIN FROM LAB,"3,630","75,356",60.3%,-1.9
191,Doncaster Central,England,E14000668,LAB HOLD,"2,278","71,389",58.2%,-1.7
192,Doncaster North,England,E14000669,LAB HOLD,"2,370","72,362",56.2%,-2.2
193,Dorset Mid & Poole North,England,E14000815,CON HOLD,"14,898","65,426",74.8%,+0.6
194,Dorset North,England,E14000839,CON HOLD,"24,301","75,956",73.9%,+0.9
195,Dorset South,England,E14000936,CON HOLD,"17,153","72,924",70.0%,-1.8
196,Dorset West,England,E14001031,CON HOLD,"14,106","80,963",75.3%,+2.8
197,Dover,England,E14000670,CON HOLD,"12,278","76,355",66.4%,-3.3
198,Dudley North,England,E14000671,CON GAIN FROM LAB,"11,533","61,936",59.2%,-3.5
199,Dudley South,England,E14000672,CON HOLD,"15,565","60,731",60.2%,-2.1
200,Dulwich & West Norwood,England,E14000673,LAB HOLD,"27,310","84,663",65.9%,-6.1
201,Dumfries & Galloway,Scotland,S14000013,CON HOLD,"1,805","74,580",69.0%,-0.6
